ID Participante,Edad,Sexo,Canal,Estimulo,SOI,Calificacion
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M255,"3,667","3,7"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M256,"1,889","2,7"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M257,"1,222","3,7"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M258,"4,000","2,7"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M259,"2,667","5,7"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M260,"1,889","3,7"
R_PulgvY0h8Hs2fip,27,1,Audiovisual,M261,"1,000","3,1"
R_2usnIruwVMsPWrz,21,1,Audio,M200,"2,222","7,3"
R_2usnIruwVMsPWrz,21,1,Audio,M201,"6,889","3,3"
R_2usnIruwVMsPWrz,21,1,Audio,M203,"4,444","7,9"
R_2usnIruwVMsPWrz,21,1,Audio,M204,"5,000","7,4"
R_2usnIruwVMsPWrz,21,1,Audio,M205,"4,111","7,2"
R_2usnIruwVMsPWrz,21,1,Audio,M209,"2,556","3,4"
R_2usnIruwVMsPWrz,21,1,Audio,M210,"3,889","7,5"
R_2usnIruwVMsPWrz,21,1,Audio,M213,"2,111","8,6"
R_2usnIruwVMsPWrz,21,1,Audio,M214,"0,889","8,9"
R_2usnIruwVMsPWrz,21,1,Audio,M215,"2,889","2,8"
R_2usnIruwVMsPWrz,21,1,Audio,M216,"5,667","7,4"
R_2usnIruwVMsPWrz,21,1,Audio,M217,"2,556",3
R_2usnIruwVMsPWrz,21,1,Audio,M218,"1,111",3
R_2usnIruwVMsPWrz,21,1,Audio,M239,"1,889","2,3"
R_2usnIruwVMsPWrz,21,1,Audio,M240,"1,333","3,1"
R_2usnIruwVMsPWrz,21,1,Audio,M242,"3,667","7,7"
R_2usnIruwVMsPWrz,21,1,Audio,M246,"1,667",8
R_2usnIruwVMsPWrz,21,1,Audio,M247,"1,444","2,6"
R_2usnIruwVMsPWrz,21,1,Audio,M248,"4,444","2,9"
R_2usnIruwVMsPWrz,21,1,Audio,M249,"1,667",7
R_2usnIruwVMsPWrz,21,1,Audio,M251,"1,333","2,8"
R_2usnIruwVMsPWrz,21,1,Audio,M252,"1,444","7,3"
R_2usnIruwVMsPWrz,21,1,Audio,M253,"1,556","7,8"
R_2usnIruwVMsPWrz,21,1,Audio,M255,"3,667","7,6"
R_2usnIruwVMsPWrz,21,1,Audio,M256,"1,889","2,1"
R_2usnIruwVMsPWrz,21,1,Audio,M257,"1,222","1,8"
R_2usnIruwVMsPWrz,21,1,Audio,M258,"4,000","3,1"
R_2usnIruwVMsPWrz,21,1,Audio,M259,"2,667","6,8"
R_2usnIruwVMsPWrz,21,1,Audio,M260,"1,889","7,7"
R_2usnIruwVMsPWrz,21,1,Audio,M261,"1,000","6,8"
R_2usnIruwVMsPWrz,21,1,Foto,M200,"2,222","5,3"
R_2usnIruwVMsPWrz,21,1,Foto,M201,"6,889","6,1"
R_2usnIruwVMsPWrz,21,1,Foto,M203,"4,444","2,7"
R_2usnIruwVMsPWrz,21,1,Foto,M204,"5,000","3,1"
R_2usnIruwVMsPWrz,21,1,Foto,M205,"4,111",3
R_2usnIruwVMsPWrz,21,1,Foto,M209,"2,556","2,6"
R_2usnIruwVMsPWrz,21,1,Foto,M210,"3,889","7,2"
R_2usnIruwVMsPWrz,21,1,Foto,M213,"2,111","8,2"
R_2usnIruwVMsPWrz,21,1,Foto,M214,"0,889","8,4"
R_2usnIruwVMsPWrz,21,1,Foto,M215,"2,889","3,6"
R_2usnIruwVMsPWrz,21,1,Foto,M216,"5,667","6,1"
R_2usnIruwVMsPWrz,21,1,Foto,M217,"2,556","7,2"
R_2usnIruwVMsPWrz,21,1,Foto,M218,"1,111","3,1"
R_2usnIruwVMsPWrz,21,1,Foto,M239,"1,889",10
R_2usnIruwVMsPWrz,21,1,Foto,M240,"1,333","3,9"
R_2usnIruwVMsPWrz,21,1,Foto,M242,"3,667","6,3"
R_2usnIruwVMsPWrz,21,1,Foto,M246,"1,667","3,5"
R_2usnIruwVMsPWrz,21,1,Foto,M247,"1,444",10
R_2usnIruwVMsPWrz,21,1,Foto,M248,"4,444","6,3"
R_2usnIruwVMsPWrz,21,1,Foto,M249,"1,667","6,2"
R_2usnIruwVMsPWrz,21,1,Foto,M251,"1,333",7
R_2usnIruwVMsPWrz,21,1,Foto,M252,"1,444",7
R_2usnIruwVMsPWrz,21,1,Foto,M253,"1,556","6,6"
R_2usnIruwVMsPWrz,21,1,Foto,M255,"3,667","3,5"
R_2usnIruwVMsPWrz,21,1,Foto,M256,"1,889","6,6"
R_2usnIruwVMsPWrz,21,1,Foto,M257,"1,222","7,3"
R_2usnIruwVMsPWrz,21,1,Foto,M258,"4,000",7
R_2usnIruwVMsPWrz,21,1,Foto,M259,"2,667","7,9"
R_2usnIruwVMsPWrz,21,1,Foto,M260,"1,889","7,2"
R_2usnIruwVMsPWrz,21,1,Foto,M261,"1,000",8
R_2usnIruwVMsPWrz,21,1,Audiovisual,M200,"2,222",10
R_2usnIruwVMsPWrz,21,1,Audiovisual,M201,"6,889",0
R_2usnIruwVMsPWrz,21,1,Audiovisual,M203,"4,444","7,3"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M204,"5,000","7,8"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M205,"4,111","2,7"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M209,"2,556","7,6"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M210,"3,889","7,5"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M213,"2,111",7
R_2usnIruwVMsPWrz,21,1,Audiovisual,M214,"0,889","2,9"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M215,"2,889","6,9"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M216,"5,667","7,8"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M217,"2,556","7,8"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M218,"1,111",8
R_2usnIruwVMsPWrz,21,1,Audiovisual,M239,"1,889",10
R_2usnIruwVMsPWrz,21,1,Audiovisual,M240,"1,333","2,8"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M242,"3,667","8,2"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M246,"1,667","1,5"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M247,"1,444",10
R_2usnIruwVMsPWrz,21,1,Audiovisual,M248,"4,444","3,6"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M249,"1,667","6,9"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M251,"1,333","3,1"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M252,"1,444","2,4"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M253,"1,556","7,3"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M255,"3,667",8
R_2usnIruwVMsPWrz,21,1,Audiovisual,M256,"1,889","7,7"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M257,"1,222","8,1"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M258,"4,000","7,5"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M259,"2,667","9,1"
R_2usnIruwVMsPWrz,21,1,Audiovisual,M260,"1,889","2,8"
